text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
lowest,lowest,low,low,ADJ,True,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Index,index,Index,index,PROPN,True,False
are,are,be,be,AUX,True,True
Turkana,turkana,Turkana,turkana,PROPN,True,False
(,(,(,(,PUNCT,False,False
0.172,0.172,0.172,0.172,NUM,False,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
Wajir,wajir,Wajir,wajir,PROPN,True,False
(,(,(,(,PUNCT,False,False
0.256,0.256,0.256,0.256,NUM,False,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
Garissa,garissa,Garissa,garissa,PROPN,True,False
(,(,(,(,PUNCT,False,False
0.267,0.267,0.267,0.267,PUNCT,False,False
),),),),PUNCT,False,False
.,.,.,.,PUNCT,False,False
These,these,these,these,DET,True,True
are,are,be,be,AUX,True,True
regions,regions,region,region,NOUN,True,False
mainly,mainly,mainly,mainly,ADV,True,False
populated,populated,populate,populate,VERB,True,False
by,by,by,by,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
.,.,.,.,PUNCT,False,False
Although,although,although,although,SCONJ,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
issues,issues,issue,issue,NOUN,True,False
are,are,be,be,AUX,True,True
invisible,invisible,invisible,invisible,ADJ,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
Report,report,Report,report,PROPN,True,False
",",",",",",",",PUNCT,False,False
the,the,the,the,DET,True,True
HDR,hdr,HDR,hdr,PROPN,True,False
does,does,do,do,AUX,True,True
address,address,address,address,VERB,True,False
issues,issues,issue,issue,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
ASALs,asals,asal,asal,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
context,context,context,context,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
MDGs,mdgs,MDGs,mdgs,PROPN,True,False
and,and,and,and,CCONJ,True,True
in,in,in,in,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
™,™,™,™,PROPN,False,False
s,s,s,s,PART,True,False
effort,effort,effort,effort,NOUN,True,False
to,to,to,to,PART,True,True
provide,provide,provide,provide,VERB,True,False
increased,increased,increase,increase,VERB,True,False
human,human,human,human,ADJ,True,False
security,security,security,security,NOUN,True,False
to,to,to,to,ADP,True,True
its,its,-PRON-,-pron-,PRON,True,True
citizens,citizens,citizen,citizen,NOUN,True,False
in,in,in,in,ADP,True,True
order,order,order,order,NOUN,True,False
to,to,to,to,PART,True,True
improve,improve,improve,improve,VERB,True,False
development,development,development,development,NOUN,True,False
and,and,and,and,CCONJ,True,True
meet,meet,meet,meet,VERB,True,False
MDG,mdg,MDG,mdg,PROPN,True,False
targets,targets,target,target,NOUN,True,False
.,.,.,.,PUNCT,False,False
The,the,the,the,DET,True,True
following,following,follow,follow,VERB,True,False
key,key,key,key,ADJ,True,False
areas,areas,area,area,NOUN,True,False
in,in,in,in,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
™,™,™,™,PROPN,False,False
s,s,s,s,NOUN,True,False
MDGs,mdgs,mdgs,mdgs,NOUN,True,False
are,are,be,be,AUX,True,True
discussed,discussed,discuss,discuss,VERB,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
context,context,context,context,NOUN,True,False
of,of,of,of,ADP,True,True
human,human,human,human,ADJ,True,False
security,security,security,security,NOUN,True,False
:,:,:,:,PUNCT,False,False
Education,education,education,education,NOUN,True,False
Performance,performance,performance,performance,NOUN,True,False
indicators,indicators,indicator,indicator,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
education,education,education,education,NOUN,True,False
sector,sector,sector,sector,NOUN,True,False
show,show,show,show,VERB,True,True
significant,significant,significant,significant,ADJ,True,False
improvements,improvements,improvement,improvement,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
has,has,have,have,AUX,True,True
taken,taken,take,take,VERB,True,False
successful,successful,successful,successful,ADJ,True,False
measures,measures,measure,measure,NOUN,True,False
to,to,to,to,PART,True,True
meet,meet,meet,meet,VERB,True,False
its,its,-PRON-,-pron-,PRON,True,True
MDG,mdg,MDG,mdg,PROPN,True,False
targets,targets,target,target,NOUN,True,False
in,in,in,in,ADP,True,True
education,education,education,education,NOUN,True,False
.,.,.,.,PUNCT,False,False
Overall,overall,overall,overall,ADJ,True,False
school,school,school,school,NOUN,True,False
enrollment,enrollment,enrollment,enrollment,NOUN,True,False
rate,rate,rate,rate,NOUN,True,False
has,has,have,have,AUX,True,True
increased,increased,increase,increase,VERB,True,False
substantially,substantially,substantially,substantially,ADV,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
last,last,last,last,ADJ,True,True
two,two,two,two,NUM,True,True
years,years,year,year,NOUN,True,False
(,(,(,(,PUNCT,False,False
2004,2004,2004,2004,NUM,False,False
-,-,-,-,SYM,False,False
2006,2006,2006,2006,NUM,False,False
),),),),PUNCT,False,False
due,due,due,due,ADP,True,True
to,to,to,to,ADP,True,True
the,the,the,the,DET,True,True
implementation,implementation,implementation,implementation,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
Free,free,Free,free,PROPN,True,False
Primary,primary,Primary,primary,PROPN,True,False
Education,education,Education,education,PROPN,True,False
program,program,program,program,NOUN,True,False
.,.,.,.,PUNCT,False,False
There,there,there,there,PRON,True,True
are,are,be,be,AUX,True,True
no,no,no,no,DET,True,True
disaggregated,disaggregated,disaggregate,disaggregate,VERB,True,False
data,data,datum,datum,NOUN,True,False
available,available,available,available,ADJ,True,False
on,on,on,on,ADP,True,True
the,the,the,the,DET,True,True
enrollment,enrollment,enrollment,enrollment,NOUN,True,False
rates,rates,rate,rate,NOUN,True,False
of,of,of,of,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
children,children,child,child,NOUN,True,False
;,;,;,;,PUNCT,False,False
however,however,however,however,ADV,True,True
",",",",",",",",PUNCT,False,False
in,in,in,in,ADP,True,True
line,line,line,line,NOUN,True,False
with,with,with,with,ADP,True,True
the,the,the,the,DET,True,True
encouraging,encouraging,encouraging,encouraging,ADJ,True,False
process,process,process,process,NOUN,True,False
of,of,of,of,ADP,True,True
striving,striving,strive,strive,VERB,True,False
toward,toward,toward,toward,ADP,True,True
the,the,the,the,DET,True,True
achievement,achievement,achievement,achievement,NOUN,True,False
of,of,of,of,ADP,True,True
universal,universal,universal,universal,ADJ,True,False
primary,primary,primary,primary,ADJ,True,False
education,education,education,education,NOUN,True,False
in,in,in,in,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
",",",",",",",",PUNCT,False,False
mechanisms,mechanisms,mechanism,mechanism,NOUN,True,False
have,have,have,have,AUX,True,True
been,been,be,be,AUX,True,True
put,put,put,put,VERB,True,True
in,in,in,in,ADP,True,True
place,place,place,place,NOUN,True,False
to,to,to,to,PART,True,True
target,target,target,target,VERB,True,False
children,children,child,child,NOUN,True,False
in,in,in,in,ADP,True,True
marginalized,marginalized,marginalize,marginalize,VERB,True,False
areas,areas,area,area,NOUN,True,False
",",",",",",",",PUNCT,False,False
such,such,such,such,ADJ,True,True
as,as,as,as,SCONJ,True,True
ASALs,asals,ASALs,asals,PROPN,True,False
",",",",",",",",PUNCT,False,False
which,which,which,which,PRON,True,True
are,are,be,be,AUX,True,True
heavily,heavily,heavily,heavily,ADV,True,False
populated,populated,populate,populate,VERB,True,False
by,by,by,by,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
.,.,.,.,PUNCT,False,False
Equal,equal,equal,equal,ADJ,True,False
access,access,access,access,NOUN,True,False
has,has,have,have,AUX,True,True
also,also,also,also,ADV,True,True
been,been,be,be,AUX,True,True
a,a,a,a,DET,True,True
major,major,major,major,ADJ,True,False
concern,concern,concern,concern,NOUN,True,False
",",",",",",",",PUNCT,False,False
which,which,which,which,PRON,True,True
prompted,prompted,prompt,prompt,VERB,True,False
the,the,the,the,DET,True,True
Ministry,ministry,Ministry,ministry,PROPN,True,False
of,of,of,of,ADP,True,True
Education,education,Education,education,PROPN,True,False
in,in,in,in,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
to,to,to,to,PART,True,True
take,take,take,take,VERB,True,True
measures,measures,measure,measure,NOUN,True,False
to,to,to,to,PART,True,True
address,address,address,address,VERB,True,False
equal,equal,equal,equal,ADJ,True,False
access,access,access,access,NOUN,True,False
to,to,to,to,ADP,True,True
education,education,education,education,NOUN,True,False
",",",",",",",",PUNCT,False,False
from,from,from,from,ADP,True,True
poor,poor,poor,poor,ADJ,True,False
families,families,family,family,NOUN,True,False
.,.,.,.,PUNCT,False,False
Health,health,Health,health,PROPN,True,False
Public,public,public,public,ADJ,True,False
health,health,health,health,NOUN,True,False
remains,remains,remain,remain,VERB,True,False
a,a,a,a,DET,True,True
major,major,major,major,ADJ,True,False
concern,concern,concern,concern,NOUN,True,False
in,in,in,in,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
.,.,.,.,PUNCT,False,False
With,with,with,with,ADP,True,True
communicable,communicable,communicable,communicable,ADJ,True,False
diseases,diseases,disease,disease,NOUN,True,False
still,still,still,still,ADV,True,True
crippling,crippling,cripple,cripple,VERB,True,False
large,large,large,large,ADJ,True,False
numbers,numbers,number,number,NOUN,True,False
of,of,of,of,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
™,™,™,™,PROPN,False,False
s,s,s,s,PART,True,False
population,population,population,population,NOUN,True,False
as,as,as,as,ADV,True,True
well,well,well,well,ADV,True,True
as,as,as,as,SCONJ,True,True
high,high,high,high,ADJ,True,False
infant,infant,infant,infant,NOUN,True,False
and,and,and,and,CCONJ,True,True
maternal,maternal,maternal,maternal,ADJ,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
",",",",",",",",PUNCT,False,False
MDG,mdg,MDG,mdg,PROPN,True,False
targets,targets,target,target,NOUN,True,False
are,are,be,be,AUX,True,True
far,far,far,far,ADV,True,False
from,from,from,from,ADP,True,True
being,being,be,be,AUX,True,True
met,met,meet,meet,VERB,True,False
and,and,and,and,CCONJ,True,True
huge,huge,huge,huge,ADJ,True,False
efforts,efforts,effort,effort,NOUN,True,False
are,are,be,be,AUX,True,True
required,required,require,require,VERB,True,False
to,to,to,to,PART,True,True
improve,improve,improve,improve,VERB,True,False
health,health,health,health,NOUN,True,False
and,and,and,and,CCONJ,True,True
to,to,to,to,PART,True,True
stop,stop,stop,stop,VERB,True,False
diseases,diseases,disease,disease,NOUN,True,False
from,from,from,from,ADP,True,True
further,further,further,further,ADV,True,True
eroding,eroding,erode,erode,VERB,True,False
Kenya,kenya,Kenya,kenya,PROPN,True,False
™,™,™,™,PROPN,False,False
s,s,s,s,PART,True,False
fragile,fragile,fragile,fragile,ADJ,True,False
state,state,state,state,NOUN,True,False
of,of,of,of,ADP,True,True
development,development,development,development,NOUN,True,False
.,.,.,.,PUNCT,False,False
Infant,infant,infant,infant,NOUN,True,False
and,and,and,and,CCONJ,True,True
maternal,maternal,maternal,maternal,ADJ,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
rates,rates,rate,rate,NOUN,True,False
are,are,be,be,AUX,True,True
highest,highest,high,high,ADJ,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
poorer,poorer,poor,poor,ADJ,True,False
regions,regions,region,region,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
huge,huge,huge,huge,ADJ,True,False
disparities,disparities,disparity,disparity,NOUN,True,False
exist,exist,exist,exist,VERB,True,False
between,between,between,between,ADP,True,True
urban,urban,urban,urban,ADJ,True,False
and,and,and,and,CCONJ,True,True
rural,rural,rural,rural,ADJ,True,False
areas,areas,area,area,NOUN,True,False
.,.,.,.,PUNCT,False,False
Under,under,under,under,ADP,True,True
-,-,-,-,PUNCT,False,False
five,five,five,five,NUM,True,True
mortality,mortality,mortality,mortality,NOUN,True,False
rates,rates,rate,rate,NOUN,True,False
are,are,be,be,AUX,True,True
26,26,26,26,NUM,False,False
percent,percent,percent,percent,NOUN,True,False
higher,higher,high,high,ADJ,True,False
in,in,in,in,ADP,True,True
rural,rural,rural,rural,ADJ,True,False
areas,areas,area,area,NOUN,True,False
(,(,(,(,PUNCT,False,False
including,including,include,include,VERB,True,False
ASALs,asals,ASALs,asals,PROPN,True,False
),),),),PUNCT,False,False
than,than,than,than,SCONJ,True,True
in,in,in,in,ADP,True,True
urban,urban,urban,urban,ADJ,True,False
areas,areas,area,area,NOUN,True,False
.,.,.,.,PUNCT,False,False
 , , , ,SPACE,False,False
There,there,there,there,PRON,True,True
are,are,be,be,AUX,True,True
no,no,no,no,DET,True,True
data,data,data,data,NOUN,True,False
specific,specific,specific,specific,ADJ,True,False
to,to,to,to,ADP,True,True
the,the,the,the,DET,True,True
health,health,health,health,NOUN,True,False
of,of,of,of,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
Report,report,Report,report,PROPN,True,False
",",",",",",",",PUNCT,False,False
but,but,but,but,CCONJ,True,True
disaggregate,disaggregate,disaggregate,disaggregate,VERB,True,False
data,data,datum,datum,NOUN,True,False
show,show,show,show,VERB,True,True
that,that,that,that,SCONJ,True,True
child,child,child,child,NOUN,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
is,is,be,be,AUX,True,True
highest,highest,high,high,ADJ,True,False
in,in,in,in,ADP,True,True
Nyanza,nyanza,Nyanza,nyanza,PROPN,True,False
and,and,and,and,CCONJ,True,True
Northeastern,northeastern,northeastern,northeastern,ADJ,True,False
provinces,provinces,province,province,NOUN,True,False
",",",",",",",",PUNCT,False,False
where,where,where,where,ADV,True,True
there,there,there,there,PRON,True,True
are,are,be,be,AUX,True,True
large,large,large,large,ADJ,True,False
populations,populations,population,population,NOUN,True,False
of,of,of,of,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
.,.,.,.,PUNCT,False,False
Except,except,except,except,SCONJ,True,True
for,for,for,for,ADP,True,True
neonatal,neonatal,neonatal,neonatal,ADJ,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
",",",",",",",",PUNCT,False,False
all,all,all,all,DET,True,True
childhood,childhood,childhood,childhood,NOUN,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
indicators,indicators,indicator,indicator,NOUN,True,False
are,are,be,be,AUX,True,True
highest,highest,high,high,ADJ,True,False
in,in,in,in,ADP,True,True
Nyanza,nyanza,Nyanza,nyanza,PROPN,True,False
province,province,province,province,NOUN,True,False
and,and,and,and,CCONJ,True,True
lowest,lowest,low,low,ADJ,True,False
in,in,in,in,ADP,True,True
Central,central,central,central,ADJ,True,False
province,province,province,province,NOUN,True,False
.,.,.,.,PUNCT,False,False
Huge,huge,huge,huge,ADJ,True,False
efforts,efforts,effort,effort,NOUN,True,False
are,are,be,be,AUX,True,True
needed,needed,need,need,VERB,True,False
to,to,to,to,PART,True,True
reduce,reduce,reduce,reduce,VERB,True,False
infant,infant,infant,infant,NOUN,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
rates,rates,rate,rate,NOUN,True,False
",",",",",",",",PUNCT,False,False
particularly,particularly,particularly,particularly,ADV,True,False
in,in,in,in,ADP,True,True
ASALs,asals,ASALs,asals,PROPN,True,False
",",",",",",",",PUNCT,False,False
where,where,where,where,ADV,True,True
HIV/,hiv/,HIV/,hiv/,PROPN,False,False
AIDS,aids,AIDS,aids,PROPN,True,False
",",",",",",",",PUNCT,False,False
malaria,malaria,malaria,malaria,NOUN,True,False
",",",",",",",",PUNCT,False,False
tuberculosis,tuberculosis,tuberculosis,tuberculosis,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
other,other,other,other,ADJ,True,True
communicable,communicable,communicable,communicable,ADJ,True,False
diseases,diseases,disease,disease,NOUN,True,False
are,are,be,be,AUX,True,True
rife,rife,rife,rife,ADJ,True,False
and,and,and,and,CCONJ,True,True
are,are,be,be,AUX,True,True
a,a,a,a,DET,True,True
constant,constant,constant,constant,ADJ,True,False
threat,threat,threat,threat,NOUN,True,False
to,to,to,to,ADP,True,True
young,young,young,young,ADJ,True,False
children,children,child,child,NOUN,True,False
with,with,with,with,ADP,True,True
still,still,still,still,ADV,True,True
developing,developing,develop,develop,VERB,True,False
immune,immune,immune,immune,ADJ,True,False
systems,systems,system,system,NOUN,True,False
living,living,live,live,VERB,True,False
in,in,in,in,ADP,True,True
abject,abject,abject,abject,ADJ,True,False
poverty,poverty,poverty,poverty,NOUN,True,False
with,with,with,with,ADP,True,True
little,little,little,little,ADJ,True,False
or,or,or,or,CCONJ,True,True
no,no,no,no,DET,True,True
health,health,health,health,NOUN,True,False
care,care,care,care,NOUN,True,False
at,at,at,at,ADP,True,True
their,their,-PRON-,-pron-,PRON,True,True
disposal,disposal,disposal,disposal,NOUN,True,False
.,.,.,.,PUNCT,False,False
  ,  ,  ,  ,SPACE,False,False
Maternal,maternal,maternal,maternal,ADJ,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
shows,shows,show,show,VERB,True,False
no,no,no,no,DET,True,True
improvement,improvement,improvement,improvement,NOUN,True,False
and,and,and,and,CCONJ,True,True
is,is,be,be,AUX,True,True
getting,getting,get,get,VERB,True,False
worse,worse,bad,bad,ADJ,True,False
.,.,.,.,PUNCT,False,False
The,the,the,the,DET,True,True
report,report,report,report,NOUN,True,False
does,does,do,do,AUX,True,True
not,not,not,not,PART,True,True
break,break,break,break,VERB,True,False
down,down,down,down,ADP,True,True
maternal,maternal,maternal,maternal,ADJ,True,False
health,health,health,health,NOUN,True,False
by,by,by,by,ADP,True,True
region,region,region,region,NOUN,True,False
",",",",",",",",PUNCT,False,False
but,but,but,but,CCONJ,True,True
one,one,one,one,PRON,True,True
could,could,could,could,AUX,True,True
hazard,hazard,hazard,hazard,VERB,True,False
to,to,to,to,PART,True,True
guess,guess,guess,guess,VERB,True,False
that,that,that,that,DET,True,True
",",",",",",",",PUNCT,False,False
following,following,follow,follow,VERB,True,False
the,the,the,the,DET,True,True
pattern,pattern,pattern,pattern,NOUN,True,False
of,of,of,of,ADP,True,True
child,child,child,child,NOUN,True,False
mortality,mortality,mortality,mortality,NOUN,True,False
",",",",",",",",PUNCT,False,False
women,women,woman,woman,NOUN,True,False
in,in,in,in,ADP,True,True
severely,severely,severely,severely,ADV,True,False
wealth,wealth,wealth,wealth,NOUN,True,False
-,-,-,-,PUNCT,False,False
compromised,compromised,compromise,compromise,VERB,True,False
regions,regions,region,region,NOUN,True,False
",",",",",",",",PUNCT,False,False
such,such,such,such,ADJ,True,True
as,as,as,as,SCONJ,True,True
Nyanza,nyanza,Nyanza,nyanza,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
Northeastern,northeastern,northeastern,northeastern,ADJ,True,False
provinces,provinces,province,province,NOUN,True,False
(,(,(,(,PUNCT,False,False
populated,populated,populate,populate,VERB,True,False
mostly,mostly,mostly,mostly,ADV,True,True
by,by,by,by,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
with,with,with,with,ADP,True,True
their,their,-PRON-,-pron-,PRON,True,True
evident,evident,evident,evident,ADJ,True,False
lack,lack,lack,lack,NOUN,True,False
of,of,of,of,ADP,True,True
proper,proper,proper,proper,ADJ,True,False
health,health,health,health,NOUN,True,False
care,care,care,care,NOUN,True,False
and,and,and,and,CCONJ,True,True
facilities,facilities,facility,facility,NOUN,True,False
",",",",",",",",PUNCT,False,False
would,would,would,would,AUX,True,True
be,be,be,be,AUX,True,True
suffering,suffering,suffer,suffer,VERB,True,False
a,a,a,a,DET,True,True
higher,higher,high,high,ADJ,True,False
