text,score
"There is a lack of available longitudinal data for infant and maternal mortality rates in the Niger Delta region, and the Report does not provide disaggregated data that indicates the health situation of indigenous peoples, although low life expectancy in the Niger Delta is an indicator for high mortality rates.  ",0
"Conflict Challenges in sustainable human development include conflicts over resources among local communities, including indigenous communities, as well as between communities and oil companies.",0
Of particular concern are the disillusioned youth who turn to gangs and engage in extortion and fast moneymaking schemes due to lack of education and opportunities.,-3
Conflicts also arise in response to poor human development as well as mismanagement and corruption in the local government.,-2
A major issue in the Niger Delta region is access to land.,-1
Local people complain about having lost their lands to the oil industry.,-2
Displacement and alienation of people from their lands have led to conflicts in land rights as well as inefficient land use practices.,-1
"Land disputes have also resulted in inter-ethnic conflicts, and some of the most noteworthy conflicts involved indigenous peoples.  ",-1
Many have also lost their land through pollution and degradation resulting from quarrying activities.,-2
"As a result, many people, including indigenous people, are calling for restitution for damages caused by oil operations.",-1
"The Ogoni people, in particular, developed a Bill of Rights32 to list their grievances with the oil industry over environmental despoliation, demanding rights to and protection of their lands and environmental resources.",0
"However, the lack of avenues for redress against the big oil companies has also been a source of conflict in the Niger Delta region.   ",-2
Conclusions,0
"Despite efforts to boost economic growth, the Niger Delta struggles to achieve MDGs.",0
"Abject poverty, conflict, high mortality rates, and poor governance and management of infrastructure and natural resources have become major obstacles in meeting MDG targets and human development goals.",-3
"The HDR calls for Nigeria to implement a people-centeredŠnot income-centeredŠdevelopment agenda, particularly for the Niger Delta region, to overcome these hurdles, as well as to invest in efforts to revitalize traditional economic activities and promote sustainable livelihoods.  ",3
The Report proposes a seven-point people-centered development agenda that involves targeted efforts to build the region™s human capital using oil wealth in order to facilitate development in other sectors.,1
"This includes (1) promoting peace as a foundation for development, which involves equitable distribution of resources and protection of land rights; (2) ensuring good governance; (3) improving and diversifying the economy, which involves identification of new enterprises; (4) promoting social inclusion, which involves empowering marginalized groups, women, and youths to take an active part in shaping policies that affect their lives; (5) promoting a sustainable environment; (6) developing an integrated approach to combating HIV/AIDS; and (7) developing partnerships  for sustainable human development.   ",8
"The HDR gives comprehensive analysis of the current state of development in the Niger Delta, and includes information on the social and economic situations of indigenous peoples in the region.",1
"It states that various entities were consulted and focus groups were conducted to gather information for the Report, and participants were selected to avoid bias.",-1
"It is unclear, however, to what extent indigenous peoples were included or solicited to participate in these discussions.",-1
